a_ascend,a_descend,a_jump,a_loadwalk,a_walk,p_bent,p_kneel,p_lie,p_sit,p_squat,p_stand,t_bend,t_kneel_stand,t_lie_sit,t_sit_lie,t_sit_stand,t_stand_kneel,t_stand_sit,t_straighten,t_turn
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.366666666667,0,0,0,0,0,0.333333333333,0,0,0,0,0,0,0,0,0.3
0,0,0,0,0.275862068966,0,0,0,0,0,0.655172413793,0,0,0,0,0,0,0,0,0.0689655172414
0,0,0,0,0,0,0,0,0,0,0.666666666667,0,0,0,0,0,0,0,0,0.333333333333
0,0,0,0,0,0,0,0,0,0,0.366666666667,0,0,0,0,0,0,0,0,0.633333333333
0,0,0,0,0,0,0,0,0,0,0.566666666667,0,0,0,0,0,0,0,0,0.433333333333
0,0,0,0,0,0,0,0,0,0,0.689655172414,0,0,0,0,0,0,0,0,0.310344827586
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.793103448276,0,0,0,0,0,0,0,0,0.206896551724
0,0,0,0,0,0,0,0,0,0,0.333333333333,0,0,0,0,0,0,0,0,0.666666666667
0,0,0,0,0,0,0,0,0,0,0.366666666667,0,0,0,0,0,0,0,0,0.633333333333
0,0,0,0,0,0,0,0,0,0,0.448275862069,0,0,0,0,0,0,0,0,0.551724137931
0,0,0,0,0,0,0,0,0,0,0.633333333333,0,0,0,0,0,0,0,0,0.366666666667
0,0,0,0,0,0,0,0,0,0,0.896551724138,0,0,0,0,0,0,0,0,0.103448275862
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
0,0,0,0,0.733333333333,0,0,0,0,0,0.266666666667,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.766666666667,0,0,0,0,0,0.233333333333,0,0,0,0,0,0,0,0,0
0,0,0,0,0.666666666667,0,0,0,0,0,0.333333333333,0,0,0,0,0,0,0,0,0
0,0,0,0,0.275862068966,0,0,0,0,0,0.724137931034,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.655172413793,0,0,0,0,0,0,0,0,0.344827586207
0,0,0,0,0,0,0,0,0,0,0.0333333333333,0,0,0,0,0,0,0,0,0.966666666667
0,0,0,0,0,0,0,0,0,0,0.166666666667,0,0,0,0,0,0,0,0,0.833333333333
0,0,0,0,0,0,0,0,0,0,0.923076923077,0,0,0,0,0,0,0,0,0.0769230769231
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.766666666667,0.0333333333333,0,0,0,0,0.2,0,0,0
0,0,0,0,0,0,0.107142857143,0,0,0,0.285714285714,0.357142857143,0,0,0,0,0.25,0,0,0
0,0,0,0,0,0.344827586207,0.344827586207,0,0,0,0,0.310344827586,0,0,0,0,0,0,0,0
0,0,0,0,0,0.423076923077,0.346153846154,0,0,0,0,0.192307692308,0.0384615384615,0,0,0,0,0,0,0
0,0,0,0,0,0.566666666667,0,0,0,0,0,0,0.333333333333,0,0,0,0,0,0.1,0
0,0,0,0,0,0.142857142857,0,0,0,0,0.25,0,0.107142857143,0,0,0,0,0,0.5,0
0,0,0,0,0,0,0,0,0,0,0.384615384615,0,0,0,0,0,0,0,0.615384615385,0
0,0,0,0,0,0,0,0,0,0,0.823529411765,0,0,0,0,0,0,0,0.176470588235,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.714285714286,0,0,0,0,0,0.285714285714,0,0,0
0,0,0,0,0,0,0.111111111111,0,0,0,0.222222222222,0,0,0,0,0,0.666666666667,0,0,0
0,0,0,0,0,0,0.333333333333,0,0,0,0,0,0,0,0,0,0.666666666667,0,0,0
0,0,0,0,0,0,0.433333333333,0,0,0,0,0,0,0,0,0,0.566666666667,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
